Strike,Discount/Premium,Break Even,Last Price,OTM Return,ITM Return,Volume,Open Interest,Change,% Change
30,-7.29,29.97,7.33,0.1,24.32432432,685,0,0,
31,-6.28,30.98,6.86,0.064516129,20.27114267,1,0,0,
32,-5.29,31.97,5.64,0.09375,16.54676259,10,0,0,
33,-4.29,32.97,4.6,0.090909091,13.01182894,71,0,0,
33.5,-3.81,33.45,4,0.149253731,11.39013453,1,0,0,
34,-3.31,33.95,3.59,0.147058824,9.749631811,15,0,0,
34.5,-2.84,34.42,2.62,0.231884058,8.251016851,,0,0,
35,-2.38,34.88,2.45,0.342857143,6.823394495,100,0,0,
35.5,-1.94,35.32,2.12,0.507042254,5.492638732,31,0,0,
36,-1.52,35.74,1.53,0.722222222,4.252937885,610,0,0,
36.5,-1.12,36.14,1.14,0.98630137,3.099059214,116,0,0,
37,-0.79,36.47,0.8,1.432432432,2.16616397,355,0,0,
37.5,-0.54,36.72,0.51,2.08,1.470588235,314,0,0,
38,-0.31,36.95,0.31,2.763157895,0.838971583,9351,0,0,
38.5,-0.19,37.07,0.19,3.714285714,0.512543836,600,0,0,
39,-0.13,37.13,0.1,4.794871795,0.350121196,802,0,0,
39.5,-0.02,37.24,0.06,5.721518987,0.053705693,53,0,0,
40,0.05,37.31,0.04,6.725,-0.134012329,261,0,0,
42,0.2,37.46,0.01,10.80952381,-0.53390283,8,0,0,
41,0.29,37.55,0.02,8.414634146,-0.772303595,55,0,0,
40.5,1.03,38.29,0.03,5.456790123,-2.689997388,15,0,0,
42.5,1.04,38.3,0.04,9.882352941,-2.7154047,,0,0,
43,1.34,38.6,0.04,10.23255814,-3.471502591,11,0,0,
44,2.01,39.27,0.01,10.75,-5.118411001,1,0,0,
45,2.02,39.28,0.02,12.71111111,-5.142566191,20,0,0,
41.5,,,0.03,,,100,0,0,
43.5,,,0.02,,,,0,0,
46,,,0.01,,,7,0,0,
